Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
1,17,1,1,1,1,1,,11322,-1,1,0.0,0,0.0,0,0.0,0.0,3.704,0.0,0.0,0.0,0.0,1,1,0
1,18,1,1,1,1,1,,6209,1,1,0.0,0,0.0,0,0.0,0.0,7.143,0.0,82.738,22.222,0.0,1,1,0
1,16,1,1,1,1,1,1.0,8765,1,1,0.0,0,0.0,0,0.0,0.0,0.0,50.0,0.0,87.5,0.0,1,1,0
1,16,0,1,1,1,1,0.0,9862,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,13,0,1,1,1,1,0.0,12867,-1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,19,1,1,1,1,1,-1.0,11323,-1,1,50.0,0,0.0,0,0.0,0.0,13.725,0.0,71.429,38.462,0.0,1,1,0
1,15,1,1,1,1,1,,8400,1,1,0.0,0,0.0,0,0.0,0.0,5.437,0.0,0.0,25.0,0.0,1,1,0
1,22,1,1,1,1,2,1.0,8765,1,1,50.0,0,0.0,0,0.0,100.0,50.0,0.0,0.0,88.889,0.0,1,1,0
1,17,0,1,1,1,1,1.0,7305,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,13,-1,1,1,1,1,1.0,11483,1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,50.0,76.923,0.0,0,1,0
-1,13,1,1,1,1,1,,6940,1,1,2.44,0,0.0,0,0.0,0.0,16.479,0.0,66.667,75.0,0.0,1,1,0
1,16,-1,1,1,1,1,-1.0,10228,-1,1,93.1,0,0.0,0,0.0,0.0,5.479,93.519,95.122,73.684,0.0,1,1,0
1,20,1,1,1,1,1,1.0,8035,1,1,0.0,0,0.0,0,0.0,0.0,0.958,0.0,0.0,50.0,0.0,1,1,0
1,17,1,1,1,1,1,-1.0,10956,-1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1,18,0,1,1,1,2,1.0,8415,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,16,0,1,1,1,1,0.0,9861,-1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,22,-1,1,1,1,2,1.0,8765,1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,1,1,0
1,15,-1,1,1,1,1,1.0,9861,-1,1,100.0,0,0.0,0,0.0,0.0,83.333,91.566,100.0,100.0,0.0,1,1,0
1,13,-1,1,1,1,1,1.0,8765,1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,42.857,0.0,1,1,0
1,18,1,1,1,1,1,0.0,5844,-1,1,0.0,0,0.0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
