Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
1,17,-1,1,1,1,2,,11610,-1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,23,1,1,1,1,1,1.0,3653,-1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,75.0,100.0,0.0,1,1,0
1,18,1,1,1,1,1,0.0,6210,-1,1,100.0,0,0.0,0,0.0,100.0,14.901,0.0,0.0,0.0,0.0,1,1,0
1,19,1,1,1,1,1,,6209,1,1,6.37,0,0.0,0,0.0,100.0,10.814,16.667,75.0,30.769,0.0,1,1,0
1,19,1,1,1,1,1,,0,1,1,0.0,0,0.0,0,0.0,0.0,18.919,20.0,100.0,62.5,0.0,1,1,0
1,21,1,1,1,1,1,1.0,0,1,1,75.68,0,0.0,0,0.0,0.0,9.15,21.053,33.577,67.857,0.0,1,0,0
1,24,1,1,1,1,1,0.0,8766,-1,1,100.0,0,0.0,0,0.0,100.0,5.333,48.485,21.053,46.154,0.0,1,1,0
1,27,1,1,1,1,2,,7669,1,1,1.92,0,0.0,0,0.0,100.0,1.205,8.333,63.636,33.333,0.0,1,1,0
1,19,-1,1,1,1,1,1.0,6209,1,1,0.0,0,0.0,0,0.0,0.0,75.605,0.0,0.0,72.222,0.0,1,1,0
1,23,0,1,1,1,2,0.0,7415,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,30,1,1,1,1,3,1.0,0,1,1,1.3,0,0.0,0,0.0,0.0,7.407,0.0,72.222,100.0,0.0,1,0,0
1,20,-1,1,1,1,1,,7305,-1,1,0.0,0,0.0,0,0.0,0.0,61.364,96.296,90.909,81.25,0.0,1,1,0
1,24,1,1,1,1,1,1.0,2192,1,1,0.0,0,0.0,0,0.0,100.0,6.25,50.0,100.0,16.667,0.0,1,1,0
1,21,1,1,1,1,1,1.0,4383,1,1,100.0,0,0.0,0,0.0,100.0,24.138,81.395,87.179,53.846,0.0,1,1,0
1,17,1,1,1,1,2,1.0,0,1,1,0.0,0,0.0,0,0.0,0.0,23.469,0.0,0.0,57.143,0.0,1,0,0
1,15,0,1,1,1,1,0.0,4748,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,17,1,1,1,1,1,0.0,0,1,1,0.38,0,0.0,0,0.0,0.0,2.23,19.048,23.077,13.043,0.0,1,0,0
1,22,1,1,1,1,1,0.0,9131,1,1,0.0,0,0.0,0,0.0,0.0,4.58,25.0,47.059,85.714,0.0,1,1,0
